Object Name,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Prob scaled,Asteroid Velocity,Asteroid Magnitude,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale,Energy,Energy sc,Energy log,Energy log pos,Vis radius,Vis radius scaled
2014 HN197,2041,2041,1,1.10E-10,1.38E-01,8.92,21,0.21,-7.85,-7.85,0,0.73686443,73686443.04,1820.575583,126.3592294,42.66820342,426.6820342
2014 HD199,2098,2098,1,1.20E-10,2.63E-01,17.01,24.5,0.042,-9.76,-9.76,0,0.021436629,2143662.933,1465.079583,106.9577781,38.27635801,382.7635801
2014 OQ392,2109,2109,1,1.20E-10,2.63E-01,11.89,22.8,0.093,-9.12,-9.12,0,0.113713638,11371363.82,1632.770714,116.1096428,40.40755763,404.0755763
2005 GV190,2099,2099,1,1.20E-10,2.63E-01,9.25,18,0.87,-6.84,-6.84,0,56.34316294,5634316294,2256.421618,150.1458421,47.50180647,475.0180647
2009 SD15,2105,2105,1,1.30E-10,3.79E-01,13.88,26.9,0.014,-10.98,-11,0,0.000528644,52864.36736,1092.977205,86.65002163,33.06020576,330.6020576
2013 UO5,2095,2095,1,1.30E-10,3.79E-01,10.26,23.4,0.07,-9.38,-9.38,0,0.036106787,3610678.68,1517.477814,109.8174494,38.9548176,389.548176
2017 AR20,2023,2023,1,1.30E-10,3.79E-01,18.52,21.3,0.19,-7.02,-7.02,0,2.352571154,235257115.4,1937.241069,132.7263328,44.0141008,440.141008
2010 XU,2065,2065,1,1.50E-10,5.85E-01,6.22,25.4,0.029,-10.17,-10.2,0,0.000943571,94357.13876,1151.202144,89.82768978,33.92936993,339.2936993
2012 CR,2025,2025,1,1.50E-10,5.85E-01,14.21,21,0.21,-7.12,-7.12,0,1.87001909,187001909,1914.17046,131.4672375,43.75123381,437.5123381
2017 AY20,2021,2021,1,1.50E-10,5.85E-01,19.78,20.1,0.33,-6.22,-6.22,0,14.06029375,1406029375,2116.918104,142.5323369,46.00997831,460.0997831
2007 WW3,2037,2037,1,1.60E-10,6.78E-01,10.28,23.8,0.06,-8.95,-8.95,0,0.022826534,2282653.44,1471.393196,107.3023481,38.35874341,383.5874341
