Object Name,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Magnitude,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale,Energy,Energy sc,Energy log,Energy log pos,Vis radius,Vis radius scaled
2013 RZ53,2092,2103,8,1.30E-05,1.25,31.1,0.002,-8.32,-8.7,0,1.25E-08,1.25,1.223901086,28.22390109,1.106300631,11.06300631
2016 QY84,2020,2116,703,3.60E-05,3.15,31.6,0.002,-7.41,-8.32,0,7.94E-08,7.938,11.36267916,38.36267916,3.370857334,33.70857334
2008 UA202,2046,2105,63,7.60E-05,2.3,29.4,0.004,-6.58,-7.35,0,3.39E-07,33.856,19.31815578,46.31815578,4.395242403,43.95242403
1991 VG,2101,2101,1,4.60E-05,1.02,28.4,0.007,-6.46,-6.46,0,3.57E-07,35.68572,19.60684557,46.60684557,4.427961785,44.27961785
2014 WU200,2111,2111,2,1.40E-06,1.73,28.9,0.005,-8.28,-8.44,0,3.74E-07,37.41125,19.86584321,46.86584321,4.457111532,44.57111532
2008 JL24,2091,2109,2,4.30E-07,2.7,29.6,0.004,-8.99,-9.05,0,4.67E-07,46.656,21.07705531,48.07705531,4.59097542,45.9097542
2014 WE6,2104,2109,5,5.20E-05,4.42,30.3,0.003,-7.3,-7.57,0,5.27E-07,52.74828,21.75020461,48.75020461,4.663711463,46.63711463
2007 UN12,2071,2111,32,0.00029,1.57,28.7,0.006,-5.8,-6.57,0,5.32E-07,53.24184,21.80128682,48.80128682,4.669184813,46.69184813
2014 HJ197,2036,2115,410,1.80E-05,4.51,30.2,0.003,-7.36,-7.9,0,5.49E-07,54.91827,21.97132446,48.97132446,4.68735794,46.8735794
2000 LG6,2075,2115,52,0.00099,2.11,29,0.005,-5.37,-5.86,0,5.57E-07,55.65125,22.04404465,49.04404465,4.695108588,46.95108588
2011 UD21,2105,2105,1,9.30E-06,1.29,28.5,0.007,-7.21,-7.21,0,5.71E-07,57.07863,22.18294897,49.18294897,4.709877809,47.09877809
2013 YB,2017,2046,23,7.60E-05,8.98,31.4,0.002,-6.6,-6.96,0,6.45E-07,64.51232,22.85443524,49.85443524,4.78063126,47.8063126
2015 FU344,2066,2111,13,1.40E-05,9.92,31,0.002,-7.79,-7.94,0,7.87E-07,78.72512,23.94649524,50.94649524,4.893515632,48.93515632
2015 TC25,2070,2115,13,0.00013,3.52,29.5,0.004,-6.45,-6.49,0,7.93E-07,79.29856,23.98630226,50.98630226,4.897581266,48.97581266
2015 PS228,2080,2102,3,2.90E-06,2.55,28.9,0.005,-7.81,-7.87,0,8.13E-07,81.28125,24.12175192,51.12175192,4.911390019,49.11390019
2011 AM37,2044,2114,120,0.001,3.65,29.7,0.004,-5.43,-5.83,0,8.53E-07,85.264,24.38412881,51.38412881,4.938028838,49.38028838
2012 EP10,2056,2115,39,9.50E-05,2.78,29.2,0.005,-6.45,-6.7,0,9.66E-07,96.605,25.06906249,52.06906249,5.006901485,50.06901485
2015 VO142,2046,2110,15,3.70E-06,2.82,29,0.005,-7.72,-8.43,0,9.94E-07,99.405,25.22577415,52.22577415,5.02252667,50.2252667
2012 XB112,2058,2114,18,0.00013,4.15,29.8,0.004,-6.35,-6.37,0,1.10E-06,110.224,25.79242269,52.79242269,5.078624094,50.78624094
2016 WY,2091,2114,11,9.70E-05,3.24,29.2,0.005,-6.49,-6.6,0,1.31E-06,131.22,26.74875857,53.74875857,5.171920201,51.71920201
2012 FN,2115,2115,1,2.30E-08,3.27,29.2,0.005,-10.18,-10.2,0,1.34E-06,133.66125,26.84986186,53.84986186,5.181685234,51.81685234
2010 VP139,2017,2112,350,1.80E-05,2.04,28.5,0.007,-6.51,-7.54,0,1.43E-06,142.74288,27.21041361,54.21041361,5.216360188,52.16360188
2008 EA9,2063,2084,9,2.60E-05,1.24,27.7,0.01,-6.24,-6.8,0,1.54E-06,153.76,27.61819849,54.61819849,5.255301941,52.55301941
2016 RD34,2051,2093,25,0.0019,1.14,27.5,0.011,-4.17,-4.51,0,1.73E-06,172.97676,28.26411391,55.26411391,5.316400466,53.16400466
2014 JR24,2069,2115,38,0.0012,3.72,29.3,0.005,-5.26,-5.27,0,1.73E-06,172.98,28.26421665,55.26421665,5.316410128,53.16410128
2010 XC,2017,2113,332,3.30E-06,3.96,29.1,0.005,-7.25,-8.05,0,1.96E-06,196.02,28.95004183,55.95004183,5.380524308,53.80524308
2009 SH1,2073,2113,24,7.00E-08,5.57,29.9,0.004,-9.91,-10.4,0,1.99E-06,198.55936,29.02063909,56.02063909,5.387080758,53.87080758
2011 CA7,2062,2092,7,9.00E-07,8.91,30.3,0.003,-8.67,-8.88,0,2.14E-06,214.34787,29.44029412,56.44029412,5.42589109,54.2589109
2003 YS70,2075,2107,2,7.70E-06,3.16,28.8,0.006,-7.44,-7.48,0,2.16E-06,215.68896,29.47450353,56.47450353,5.429042598,54.29042598
2008 TS10,2068,2114,19,2.80E-05,3.18,28.8,0.006,-6.77,-7.61,0,2.18E-06,218.42784,29.54371278,56.54371278,5.435412844,54.35412844
2008 WO2,2065,2111,10,5.30E-05,6.11,29.8,0.004,-6.93,-7.28,0,2.39E-06,238.92544,30.0356778,57.0356778,5.48048153,54.8048153
2016 WN55,2020,2113,48,4.80E-06,0.34,25.6,0.028,-4.06,-4.33,0,2.54E-06,253.76512,30.36617947,57.36617947,5.510551648,55.10551648
2012 WR10,2081,2096,3,7.70E-07,2.73,28.5,0.007,-8.21,-8.4,0,2.56E-06,255.63447,30.40643504,57.40643504,5.514203028,55.14203028
2008 US,2017,2062,30,1.60E-05,18.33,31.4,0.002,-6.48,-6.87,0,2.69E-06,268.79112,30.68169596,57.68169596,5.539106061,55.39106061
2014 HY198,2041,2115,234,4.50E-05,6.52,29.6,0.004,-6.84,-7.41,0,2.72E-06,272.06656,30.74812897,57.74812897,5.545099546,55.45099546
