Object Name,Cumulative Impact Probability,Prob sqrt,Prob scaled,Asteroid Velocity,Asteroid Diameter (km),Energy,Energy rt,Energy log,Radius
2014 HN197,1.10E-10,3.24E-03,1.38E-01,8.92,0.21,0.73686443,0.903224822,0.974875073,95.03814089
2014 HD199,1.20E-10,3.31E-03,2.63E-01,17.01,0.042,0.021436629,0.277791423,0.725988445,52.70592217
2014 OQ392,1.20E-10,3.31E-03,2.63E-01,11.89,0.093,0.113713638,0.48447442,0.834291296,69.60419673
2005 GV190,1.20E-10,3.31E-03,2.63E-01,9.25,0.87,56.34316294,3.833661303,1.399276161,195.7973775
2009 SD15,1.30E-10,3.38E-03,3.79E-01,13.88,0.014,0.000528644,0.080857631,0.53324925,28.43547626
2013 UO5,1.30E-10,3.38E-03,3.79E-01,10.26,0.07,0.036106787,0.330518886,0.758226694,57.49077197
2017 AR20,1.30E-10,3.38E-03,3.79E-01,18.52,0.19,2.352571154,1.329987592,1.07389519,115.325088
2010 XU,1.50E-10,3.50E-03,5.85E-01,6.22,0.029,0.000943571,0.098082514,0.559626017,31.31812793
2012 CR,1.50E-10,3.50E-03,5.85E-01,14.21,0.21,1.87001909,1.23201316,1.053546811,110.9960882
2017 AY20,1.50E-10,3.50E-03,5.85E-01,19.78,0.33,14.06029375,2.413597226,1.246425139,155.3575626
2007 WW3,1.60E-10,3.56E-03,6.78E-01,10.28,0.06,0.022826534,0.283669947,0.729799114,53.26067466
2014 HC196,2.00E-10,3.76E-03,1.00E+00,10.36,0.031,0.003197456,0.147322201,0.619536716,38.38257425
2014 MG68,2.00E-10,3.76E-03,1.00E+00,14.37,0.1,0.2064969,0.591068541,0.876818009,76.88098214
2014 HO197,2.20E-10,3.85E-03,1.14E+00,14.63,0.021,0.001982196,0.125617124,0.595336091,35.4425061
2014 GC49,2.30E-10,3.89E-03,1.20E+00,17.06,0.007,9.9828E-05,0.046389254,0.464092284,21.5381648
2017 CH1,2.30E-10,3.89E-03,1.20E+00,18.19,0.9,241.2086769,6.224879882,1.579547694,249.4970918
2009 XQ2,2.60E-10,4.02E-03,1.38E+00,26.18,0.051,0.090917987,0.44965898,0.818881044,67.05661637
2016 YC13,3.20E-10,4.23E-03,1.68E+00,13,0.015,0.000570375,0.082931622,0.536636292,28.797851
2010 VQ139,3.40E-10,4.29E-03,1.77E+00,8.03,0.018,0.000376053,0.072179888,0.518327261,26.86631491
2014 OO6,4.00E-10,4.47E-03,2.00E+00,17.82,0.075,0.133967419,0.511681517,0.845765435,71.53191716
2012 UL171,4.20E-10,4.53E-03,2.07E+00,3.79,0.013,3.15579E-05,0.031601146,0.421624371,17.77671103
2014 HM198,4.40E-10,4.58E-03,2.14E+00,9.54,0.011,0.000121136,0.049479458,0.471635225,22.24397854
2012 VZ19,4.50E-10,4.61E-03,2.17E+00,7.92,0.025,0.0009801,0.099332217,0.56140016,31.51701402
2014 HM199,4.90E-10,4.70E-03,2.29E+00,10.54,0.063,0.027778121,0.302854681,0.74183714,55.03223424
2015 XQ129,5.30E-10,4.80E-03,2.41E+00,15.3,0.044,0.019940723,0.271173323,0.721625283,52.07430493
2010 LV108,6.00E-10,4.95E-03,2.58E+00,9.06,0.12,0.141840461,0.521514888,0.849799904,72.21598772
2001 UO,6.20E-10,4.99E-03,2.63E+00,16.28,0.051,0.035157609,0.327596895,0.756545311,57.23608082
2014 MR67,6.90E-10,5.13E-03,2.79E+00,9.72,0.062,0.022516848,0.282381256,0.728968843,53.13955743
2014 NJ65,7.30E-10,5.20E-03,2.87E+00,8.57,0.461,7.195557036,1.930581499,1.178750894,138.9453669
2011 SR52,7.60E-10,5.25E-03,2.93E+00,13.55,2.579,3149.434763,14.65809523,1.956678102,382.8589196
2009 WZ53,8.30E-10,5.37E-03,3.05E+00,18.97,0.052,0.050599321,0.369869254,0.779851762,60.81687707
2007 WT3,8.60E-10,5.42E-03,3.10E+00,19.92,0.051,0.052636766,0.374768487,0.782421483,61.2183377
2013 VJ13,8.90E-10,5.46E-03,3.15E+00,16.09,0.06,0.05591983,0.382403577,0.786376428,61.83878859
2017 BD6,1.00E-09,5.62E-03,3.32E+00,9.28,0.007,2.95386E-05,0.030912208,0.41930738,17.58186788
2013 XT23,1.00E-09,5.62E-03,3.32E+00,8.42,0.039,0.004205504,0.161413307,0.633847576,40.17627493
2005 WN3,1.10E-09,5.76E-03,3.46E+00,18.17,0.004,2.11295E-05,0.02764585,0.40776269,16.62704114
2011 KF36,1.20E-09,5.89E-03,3.58E+00,22.32,0.28,10.93610004,2.219665294,1.220595805,148.9854118
2001 YN2,1.40E-09,6.12E-03,3.81E+00,18.49,0.035,0.014658109,0.244733066,0.703352706,49.47050297
2012 CQ46,1.50E-09,6.22E-03,3.91E+00,13.01,0.012,0.000292481,0.066379317,0.507584316,25.76418379
2016 RQ41,1.50E-09,6.22E-03,3.91E+00,13.11,0.33,6.176567658,1.834773255,1.16384622,135.4538023
